"","symbols","allENT","moduleColors","riBAQ 17","riBAQ 18","riBAQ 35","riBAQ 36","riBAQ 19","riBAQ 20","riBAQ 21","riBAQ 22","riBAQ 23","riBAQ 37","riBAQ 38","riBAQ 39","riBAQ 40","riBAQ 41","riBAQ 24","riBAQ 25","riBAQ 26","riBAQ 42","riBAQ 43"
"11","ABHD14B","ENSG00000114779","turquoise",8.41e-05,8.46e-05,7.61e-05,9.12e-05,8.8e-05,0.000121396,9.63e-05,0.0001211,0.000103282,0.00010981,0.000119156,0.000117395,0.000117242,0.000102546,0.000174707,0.00022324,0.000183577,0.000286856,0.000209122
"12","ABI1","ENSG00000136754","grey",4.69e-05,6.53e-05,4.67e-05,5.08e-05,9.19e-05,3.3e-05,0,5.82e-05,3.21e-05,3.47e-05,4.75e-05,1.53e-05,2.36e-05,2.68e-05,0,3.62e-05,2.8e-05,3.38e-05,4.21e-05
"13","ABI2","ENSG00000138443","black",0.00011337,0.000167586,0.000200291,0.000173282,0.000213354,0.000100795,0.000101229,0.000141107,9.21e-05,0.00013515,0.000112541,6.26e-05,8.72e-05,8.81e-05,6.03e-05,6.25e-05,4.23e-05,5.6e-05,4.5e-05
"14","ABLIM1","ENSG00000099204","grey",0,1.02e-05,5.7e-06,1.01e-05,7.2e-06,0,0,6.66e-06,0,1.17e-05,9.56e-06,1.1e-05,1.2e-05,5.49e-06,5.88e-06,7.54e-06,1.82e-05,1.41e-05,1.17e-05
"15","ABR","ENSG00000278741","grey",1.67e-05,3.08e-05,3.44e-05,2.74e-05,3.18e-05,1.97e-05,2.31e-05,1.72e-05,1.78e-05,3e-05,3.02e-05,1.47e-05,1.54e-05,1.73e-05,1.78e-05,3.68e-05,3.82e-05,2.09e-05,2.35e-05
"16","ACAA1","ENSG00000060971","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77e-05,2.69e-05,4.76e-05,2.45e-05
"17","ACAA2","ENSG00000167315","turquoise",3.35e-05,0,2.97e-05,3.41e-05,1.73e-05,0,5.43e-05,2.36e-05,6.05e-05,4.77e-05,3.38e-05,3.49e-05,8.09e-05,3.64e-05,7.79e-05,0.000107212,0.000138025,6.48e-05,0.000150462
"18","ACADM","ENSG00000117054","turquoise",1.66e-05,0,0,0,0,0,0,0,0,0,0,0,1.71e-05,0,1.69e-05,3.27e-05,3.45e-05,0,5.34e-05
"19","ACADVL","ENSG00000072778","turquoise",1.54e-05,0,0,0,2.18e-05,0,1.29e-05,0,1.9e-05,7.88e-06,0,0,1.87e-05,4.64e-06,3.23e-05,7.99e-05,7.72e-05,2.6e-05,0.0001041
"20","ACAN","ENSG00000157766","black",0.000880634,0.000500637,0.000237609,0.000163845,0.000445218,0.000711338,0.00094941,0.000515597,0.00065846,0.000489223,0.000695839,0.000791366,0.000851152,0.000542896,0.001136632,0.00093521,0.00103506,0.000261609,0.00049335
"21","ACAT1","ENSG00000075239","turquoise",7.74e-05,0,3.56e-05,2.71e-05,4.11e-05,2.04e-05,7.92e-05,5.32e-05,8.73e-05,3.99e-05,2.26e-05,5.77e-05,8.97e-05,5.37e-05,9.54e-05,0.000129646,0.00012664,6.39e-05,0.000146422
"22","ACAT2","ENSG00000120437","black",0.000151978,0.000183487,0.000183574,0.000203214,0.000129406,0.000149325,0.000152933,0.000190649,0.000177513,0.000214249,0.000142167,0.000113855,0.000171981,0.000239306,0.000109821,8.94e-05,0.000132694,8.19e-05,0.000106917
"23","ACBD7","ENSG00000176244","grey",0.000291497,0.000290458,0.000261878,0.000380473,0.000224978,0.000170765,0.000203916,0,0.000207936,0.0002467,0,0.000160604,0.000295304,0.000313917,0.000108742,0.000123491,0.000142414,0.000250685,0.000117519
"24","ACLY","ENSG00000131473","black",3.9e-05,8.81e-05,5.85e-05,7.2e-05,5.06e-05,7.09e-05,5.35e-05,6.49e-05,3.59e-05,8.42e-05,7.92e-05,2.71e-05,1.56e-05,4.16e-05,3.42e-05,1.85e-05,2.8e-05,2.54e-05,2.33e-05
"25","ACO1","ENSG00000122729","grey",7.99e-05,5.29e-05,5.09e-05,5.21e-05,5.84e-05,5.19e-05,4.95e-05,6.16e-05,5.39e-05,6.63e-05,4.9e-05,5.47e-05,4.65e-05,4.96e-05,5.09e-05,6.78e-05,5.97e-05,5.51e-05,5.78e-05
"26","ACO2","ENSG00000100412","turquoise",0.000516527,0.000150439,0.00032129,0.000188844,0.000365009,0.000240288,0.000480848,0.000312411,0.000446262,0.000276624,0.000209465,0.000345167,0.000556257,0.000327416,0.000572695,0.000750486,0.000812169,0.00040979,0.00085793
"27","ACOT1","ENSG00000184227","turquoise",2.3e-05,0,3.89e-05,2.28e-05,2.55e-05,0,0,0,3.8e-05,0,2.85e-05,2.33e-05,4.16e-05,2.78e-05,0,5.75e-05,0.000143083,6.68e-05,1.82e-05
"28","ACOT7","ENSG00000097021","black",0.000399133,0.000467112,0.000474102,0.000500121,0.000400102,0.000306766,0.000310459,0.000425208,0.000346663,0.000360674,0.000351259,0.00023761,0.000273094,0.000535674,0.00022114,7.34e-05,9.49e-05,7.43e-05,5.85e-05
"29","ACOX1","ENSG00000161533","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01e-05,1.83e-05,3.34e-05,4.04e-05
"30","ACP1","ENSG00000143727","turquoise",0.000105966,0.000195986,0.000146592,0.000169232,0.000180179,0.000135979,0.000136061,0.000172931,0.00010064,0.000167012,0.000187213,0.000197239,0.000193438,0.00021802,0.000158921,8.17e-05,0.000100895,0.000146717,0.00010687
"31","ACP2","ENSG00000134575","turquoise",0,0,0,0,0,2.53e-05,2.95e-05,2.2e-05,0,0,0,2.31e-05,0,0,3.43e-05,5.94e-05,3.05e-05,2.41e-05,4.64e-05
"32","ACSBG1","ENSG00000103740","turquoise",1.54e-05,1.01e-05,1.22e-05,2.43e-05,8.54e-06,0,1.95e-05,0,0,1.1e-05,1.41e-05,6.67e-06,1.57e-05,1.03e-05,9.63e-06,0,0,0,0
"33","ACSL6","ENSG00000164398","green",1.65e-05,3.63e-05,3.01e-05,1.75e-05,1.29e-05,4.74e-05,1.54e-05,1.13e-05,1.03e-05,2.94e-05,3.21e-05,0,8.7e-06,0,2.71e-05,2.66e-05,2.32e-05,4.54e-05,4.59e-05
"34","ACSS1","ENSG00000154930","turquoise",0,0,0,0,1.12e-05,0,0,0,0,7.81e-06,1.03e-05,0,0,0,0,1.73e-05,1.18e-05,9.33e-06,4.16e-05
"35","ACSS3","ENSG00000111058","turquoise",0,0,0,0,3.39e-06,0,2.75e-06,0,0,0,0,0,0,0,4.62e-06,3.85e-06,8.13e-06,0,8.31e-06
"36","ACTC1","ENSG00000159251","grey",0.001841222,0.001960104,0.002101068,0.002165432,0.001752857,0.00233352,0.003537509,0.002414333,0.001879921,0.00206671,0.003204428,0.002688723,0.002872274,0.002697451,0.002586958,0.003037375,0.001285906,0.002157127,0.002307373
"37","ACTG1","ENSG00000291420","grey",0.01505196,0.01551798,0.014047342,0.014871724,0.014834563,0.019377115,0.021484037,0.014874179,0.015919123,0.01530127,0.013099887,0.015643986,0.013152961,0.014631363,0.019865213,0.016212804,0.019620556,0.017499966,0.01359811
"38","ACTN1","ENSG00000072110","grey",0.000104049,5.53e-05,8.17e-05,7.15e-05,8.94e-05,4.83e-05,0.000148177,6.87e-05,5.64e-05,7.96e-05,6.46e-05,9.36e-05,9.86e-05,5.15e-05,6.77e-05,5.65e-05,6.69e-05,5.08e-05,7.35e-05
"39","ACTN4","ENSG00000282844","black",0.000213936,0.000153184,0.000173657,0.000152025,0.00020988,0.000122918,0.000302073,0.000150778,0.000149906,0.000214604,0.000181886,0.000250042,0.000230423,0.000126961,0.000193149,0.000227993,0.000220772,0.000194841,0.000272527
"40","ACTR1A","ENSG00000138107","pink",0.00014613,0.000276504,0.000218209,0.000336789,0.000188225,0.000289515,0.000458717,0.000277507,0.000185334,0.000382078,0.000361196,0.00017517,0.000107269,0.000284963,0.000161175,0.00016495,0.000173702,0.000184722,0.000173525
"41","ACTR1B","ENSG00000291597","pink",3.26e-05,5.36e-05,4.94e-05,6.16e-05,3.69e-05,4.98e-05,0.000107679,6.6e-05,4.25e-05,8.51e-05,9.56e-05,2.94e-05,1.73e-05,6.33e-05,2.67e-05,3.17e-05,3.33e-05,3.66e-05,3.35e-05
"42","ACTR2","ENSG00000138071","grey",0.000247721,0.000273252,0.00031823,0.000359227,0.000358708,0.000277898,0.00053118,0.00038015,0.000281739,0.000342673,0.000326209,0.000243014,0.000235435,0.000296049,0.000299953,0.000320419,0.000529986,0.00044397,0.000285861
"43","ACTR3","ENSG00000115091","turquoise",0.000238859,0.000244755,0.000248156,0.000284085,0.000275986,0.000297105,0.000437216,0.000300942,0.000281359,0.000292327,0.000257125,0.000256131,0.000214056,0.000262453,0.000317689,0.000330698,0.000554184,0.000421117,0.00028467
"44","ACTR3B","ENSG00000133627","black",5.07e-05,6.31e-05,0.000104203,8.23e-05,6.96e-05,6.28e-05,7.08e-05,5.61e-05,3.44e-05,4.18e-05,4.17e-05,0,0,3.44e-05,1.73e-05,0,0,0,0
"45","ACY1","ENSG00000243989","turquoise",0,0,0,0,0,0,7.92e-06,0,1e-05,0,0,0,2.93e-05,0,0,1.92e-05,2.27e-05,1.12e-05,2.6e-05
"46","ACYP1","ENSG00000119640","grey",0.00010337,0,0.000106664,0.000129431,9.34e-05,0,0,0,8.94e-05,8.43e-05,9.93e-05,0,0.000204972,0.000137858,0,0,0,4.58e-05,0
"47","ACYP2","ENSG00000170634","grey",0.000556431,0.000585763,0.00052033,0.000506333,0.000454296,0.000486921,0.000420377,0.000589625,0.000654393,0.000384583,0.000606127,0.000665,0.000994382,0.000587872,0.000210399,0.000686389,0.000425153,0.000674708,0.000422721
"48","ADAM10","ENSG00000137845","black",4.47e-05,3.93e-05,3.02e-05,3.45e-05,7.27e-05,9.83e-05,8.63e-05,8.21e-05,6.3e-05,7.44e-05,9.58e-05,0.000102659,9.46e-05,7.3e-05,7.07e-05,8.31e-05,0.000106147,0.000120148,0.000103341
"49","ADAM11","ENSG00000073670","black",2.29e-05,3.61e-05,4.26e-05,3.09e-05,3.22e-05,2.42e-05,1.55e-05,1.66e-05,1.77e-05,3.4e-05,4.02e-05,2.04e-05,1.9e-05,2.13e-05,0,6.98e-06,0,0,0
"50","ADAM22","ENSG00000008277","grey",1.9e-05,1.85e-05,1.04e-05,0,0,1.06e-05,4.71e-05,0,0,8.94e-06,1.93e-05,8.91e-06,9.59e-06,0,7.86e-06,1.01e-05,1.66e-05,0,1.62e-05
"51","ADAM9","ENSG00000282230","turquoise",0,0,0,0,0,0,0,0,0,0,7.14e-06,0,0,0,7.38e-06,1.01e-05,1.41e-05,1.01e-05,1.07e-05
"52","ADAP1","ENSG00000105963","black",0,3.1e-05,3.09e-05,3.82e-05,2.64e-05,0,0,0,1.91e-05,0,1.03e-05,0,0,1.29e-05,0,0,0,0,0
"53","ADCY1","ENSG00000164742","black",1.5e-05,1.24e-05,2.3e-05,1.62e-05,0,6.11e-06,0,6.06e-06,1.29e-05,2.32e-05,1.26e-05,0,0,0,0,0,0,0,0
"54","ADCY2","ENSG00000078295","grey",1.34e-05,1.06e-05,1.23e-05,1.2e-05,1.15e-05,7.93e-06,1.45e-05,9.67e-06,6.79e-06,1.21e-05,1.01e-05,8.4e-06,7.28e-06,7.24e-06,8.66e-06,1.03e-05,7.97e-06,1.03e-05,1.47e-05
"55","ADD1","ENSG00000087274","grey",0.000381117,0.000322844,0.000407261,0.000394032,0.000338147,0.000242123,0.000418082,0.000380394,0.000414532,0.000531133,0.000413392,0.00038553,0.000541995,0.000426451,0.000365726,0.000396199,0.000320592,0.000287028,0.000380201
"56","ADD2","ENSG00000075340","black",0.00016992,0.000318215,0.00027256,0.000286553,0.000184999,0.000193885,0.000182199,0.000222946,0.000205094,0.000289466,0.000265626,0.000158793,0.000184725,0.000196235,0.000112827,0.00010679,8.05e-05,8.95e-05,0.000100837
"57","ADD3","ENSG00000148700","black",0.000218474,0.000152318,0.000132819,0.000151228,0.000113599,0.000129527,0.000211347,0.000213208,0.00021138,0.000179103,0.000171046,0.000225943,0.000287125,0.00020741,0.000217868,0.000263639,0.000313693,0.000198834,0.000243169
"58","ADGRL3","ENSG00000150471","black",0,4.22e-06,5.36e-06,7.56e-06,0,0,4.13e-06,5.15e-06,0,4.34e-06,0,3.4e-06,3.74e-06,2.45e-06,0,0,0,0,0
"59","ADH5","ENSG00000197894","turquoise",9.05e-05,0.000123217,0.000177345,0.000182393,0.000266912,0.000165359,0.000202528,0.000217412,0.00026582,0.000220973,0.000173548,0.000214559,0.00017913,0.000246424,0.000311338,0.000317792,0.00042335,0.000367287,0.000332128
"60","ADK","ENSG00000156110","pink",1.92e-05,0,1.9e-05,2.06e-05,1.75e-05,0,0,2.1e-05,2.47e-05,0,2.06e-05,2.33e-05,3.37e-05,1.89e-05,2.03e-05,2.47e-05,2.2e-05,2.19e-05,1.81e-05
"61","ADRBK1",NA,"black",7.97e-06,1.43e-05,1.11e-05,1.2e-05,0,0,0,0,0,8.32e-06,7.87e-06,0,0,0,0,0,0,0,0
"62","ADSS",NA,"black",2.33e-05,7.61e-05,8.49e-05,7.3e-05,4.33e-05,4.54e-05,6.76e-05,6.05e-05,5.27e-05,6.89e-05,7.22e-05,2.51e-05,1.63e-05,7.81e-05,1.92e-05,0,0,0,0
"63","AGL","ENSG00000162688","grey",3.9e-05,4.21e-05,3.35e-05,4.48e-05,3.27e-05,3.61e-05,4.67e-05,1.89e-05,5.59e-05,4.47e-05,2.97e-05,5.05e-05,2.86e-05,3.55e-05,4.09e-05,2.72e-05,2.03e-05,2.7e-05,6.24e-05
"64","AGRN","ENSG00000188157","black",8.56e-06,0,0,0,8.53e-06,8.02e-06,3.6e-05,4.04e-06,6.84e-06,1.23e-05,1.04e-05,1.7e-05,2.15e-05,6.82e-06,3.83e-05,2.56e-05,2.5e-05,3.24e-05,3.68e-05
"65","AGT","ENSG00000135744","black",0,0,0,0,2.33e-05,4.47e-05,2.18e-05,3.48e-05,4.32e-05,1.52e-05,1.86e-05,3.9e-05,4.1e-05,3.65e-05,5.18e-05,7e-05,5.28e-05,3.79e-05,6.04e-05
"66","AHCY","ENSG00000101444","green",0.000343302,0.000259634,0.000295558,0.000305587,0.00028291,0.000294708,0.000315314,0.000352065,0.000352976,0.000279819,0.000298448,0.00032841,0.000328198,0.000348737,0.00032196,0.000260338,0.000277689,0.000214365,0.000236982
"67","AHCYL1","ENSG00000168710","grey",0.000363151,0.000355264,0.000414709,0.000415789,0.000311352,0.000360083,0.000367995,0.00031812,0.000300635,0.000403607,0.000339953,0.00048045,0.000256123,0.000346056,0.000403231,0.000392815,0.000599235,0.000507611,0.000324654
"68","AHCYL2","ENSG00000158467","grey",4.02e-05,4.03e-05,3.62e-05,4.12e-05,0,2.46e-05,4.33e-05,4.16e-05,3.32e-05,3.83e-05,2.82e-05,4.81e-05,2.45e-05,2.8e-05,3.6e-05,3.08e-05,4.62e-05,5.02e-05,3.36e-05
"69","AHNAK","ENSG00000124942","turquoise",6.92e-05,2.41e-05,1.93e-05,2.23e-05,6.97e-05,0.000107987,5.55e-05,6.21e-05,0.00012847,7.15e-05,4.68e-05,0.000153502,8.22e-05,7.26e-05,0.000231468,0.00020351,0.000332792,0.000470514,0.000237328
"70","AHNAK2","ENSG00000185567","grey",3.1e-06,2.78e-06,2.64e-06,2.2e-06,0,3.85e-06,0,4.76e-06,6.64e-06,0,2.71e-06,4.28e-06,3.63e-06,4.42e-06,3.64e-06,4.3e-06,3.11e-06,3.28e-06,0
"71","AHSA1","ENSG00000100591","black",3.65e-05,0.000102722,7.23e-05,8.59e-05,5.93e-05,0.000100261,4.12e-05,2.63e-05,0,6.95e-05,9.74e-05,3.7e-05,3.06e-05,4.54e-05,4.12e-05,2.82e-05,3.22e-05,3.7e-05,4.31e-05
"72","AIFM1","ENSG00000156709","turquoise",1.75e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39e-06,4.46e-05,2.78e-05,3.26e-05,4.21e-05
"73","AIMP1","ENSG00000164022","turquoise",2.21e-05,2.42e-05,0,0,0,0,0,0,0,0,0,0,1.56e-05,0,2.76e-05,2.61e-05,1.65e-05,3.07e-05,3.74e-05
"74","AK1","ENSG00000106992","turquoise",0.000767771,0.000893709,0.000958866,0.000982201,0.001184471,0.001229468,0.000994042,0.000960281,0.001091504,0.00090657,0.000959847,0.000808956,0.000802156,0.001049743,0.001045722,0.002089364,0.00194045,0.003381979,0.00195288
"75","AK2","ENSG00000004455","turquoise",0,0,0,0,0,0,0,1.7e-05,2.63e-05,0,1.37e-05,0,3.65e-05,2.16e-05,4.01e-05,7.86e-05,6.9e-05,0.000112817,8.01e-05
"76","AK3","ENSG00000147853","turquoise",9.45e-05,3.81e-05,0,5.23e-05,6.37e-05,3.63e-05,0.000114289,4.75e-05,0.000121002,5.51e-05,5.87e-05,8.41e-05,0.000150972,8.29e-05,0.000105697,0.000255301,0.000181206,0.000127645,0.00031716
"77","AK4","ENSG00000162433","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15e-05,3.66e-05,5.12e-05,0.000177513
"78","AKAP12","ENSG00000131016","turquoise",7.92e-05,0.000134991,0.000110893,9.8e-05,0.000100172,0.000149467,7.27e-05,0.000116802,0.000123046,0.000152864,0.000137021,9.99e-05,0.000121546,0.000125847,7.78e-05,5.55e-05,4.19e-05,8.57e-05,4.24e-05
"79","AKR1A1","ENSG00000117448","grey",0.00015987,0.000228839,0.000217035,0.000225683,0.000234509,0.000198829,0.000214944,0.000212924,0.00021196,0.00015342,0.000283291,0.000141817,0.000122543,0.000239959,0.000211743,0.000199584,0.000240122,0.000298497,0.000211966
"80","AKR1B1","ENSG00000085662","grey",0.000548253,0.000534804,0.000501277,0.000557562,0.000706325,0.000559503,0.000552644,0.000890314,0.000708794,0.000559595,0.00061611,0.000706991,0.001059582,0.000806286,0.000537105,0.000417266,0.000448938,0.000452208,0.000367116
"81","AKR1C3","ENSG00000196139","turquoise",2.57e-05,3.63e-05,0,2.06e-05,0,3.44e-05,4.43e-05,5.03e-05,2.31e-05,0,4.77e-05,3.85e-05,4.35e-05,2.89e-05,4.62e-05,0.000126859,0.000107395,0.000114476,0.000123362
"82","AKR7A2","ENSG00000053371","turquoise",0.000148224,0.000119557,0.000149305,0.000116593,0.000173693,0.000127571,0.000147904,0.000158165,0.000147009,0.000144368,0.000157591,0.000189247,0.000221256,0.000132764,0.000217088,0.000324856,0.000282563,0.000387537,0.000407407
"83","ALAD","ENSG00000148218","turquoise",0.000162136,7.88e-05,9.19e-05,9.74e-05,0.000199767,0.000125465,0.000138411,0.000133939,0.00022961,0.000152718,0.000157206,0.000183778,0.000255867,0.000217338,0.000180493,0.000446282,0.000528332,0.000465709,0.000429465
"84","ALCAM","ENSG00000170017","turquoise",0.000174747,0.00017293,0.000187131,0.000183003,0.000229599,0.000269874,0.000342815,0.000249785,0.000175566,0.000156352,0.000204927,0.000210858,0.000214999,0.000157936,0.000365093,0.00060729,0.000408996,0.0004059,0.000528165
"85","ALDH1A1","ENSG00000165092","black",0.000161569,0.00013558,0.000207181,0.000153301,0.000151878,0.000198132,0.000127923,0.000140347,0.000254386,0.00014609,0.000252065,0.000200116,0.000394522,0.000221972,0.000412407,0.000401753,0.000299971,0.000267266,0.000351745
"86","ALDH1L1","ENSG00000144908","black",0.000103281,7.98e-05,8.66e-05,0.000117671,0.000217187,0.000123495,0.00015918,0.000160137,0.000199876,0.000143267,9.16e-05,0.000185458,0.000134653,0.000127409,0.000206059,0.000116453,0.000201417,0.000230735,0.00014525
"87","ALDH2","ENSG00000111275","black",0.000406227,0.000133764,0.000321405,0.000375935,0.000407872,0.000250268,0.000429333,0.000222333,0.000477541,0.000301223,0.000218498,0.000426818,0.000814246,0.000309659,0.000713552,0.000648084,0.000704969,0.00048962,0.000690079
"88","ALDH3A2","ENSG00000072210","green",0,0,0,0,2.04e-05,8.53e-05,1.92e-05,0,3.97e-05,3.71e-05,3.14e-05,1.68e-05,0,0,4.3e-05,9.83e-05,0.00010416,0.000206646,7.07e-05
"89","ALDH4A1","ENSG00000159423","black",0.000151406,5.47e-05,6.52e-05,4.62e-05,8.59e-05,9.7e-05,0.000225336,7.7e-05,0.000142762,6.39e-05,5.54e-05,7.39e-05,0.000136074,8.21e-05,0.000207184,0.000105689,0.000217048,4.72e-05,0.000189889
"90","ALDH5A1","ENSG00000112294","turquoise",0.000114321,0,5.16e-05,3.37e-05,5.67e-05,2.83e-05,9.45e-05,3.78e-05,4.8e-05,5.71e-05,4.44e-05,7.4e-05,7.91e-05,5.31e-05,8.5e-05,0.000141325,0.000132164,6.36e-05,0.000177137
"91","ALDH6A1","ENSG00000119711","turquoise",0.000355091,0.000144784,0.000232393,0.000224789,0.000253622,0.000220433,0.000356745,0.000199554,0.000286777,0.00019477,0.000175828,0.000367686,0.000169425,0.000307864,0.000492271,0.000378547,0.000460473,0.000269709,0.000624618
"92","ALDH7A1","ENSG00000164904","black",0.000372299,0.000225155,0.000285108,0.000264924,0.00045083,0.000578397,0.000455646,0.000425482,0.000639423,0.000304626,0.000313833,0.000759021,0.00093547,0.000638242,0.000770731,0.001119456,0.000841815,0.000803477,0.000680165
"93","ALDH9A1","ENSG00000143149","turquoise",0.000321351,0.000208485,0.000230565,0.000256239,0.00047307,0.000297667,0.000243677,0.000289083,0.000417417,0.000254739,0.000269615,0.00036481,0.000564666,0.000327037,0.000614223,0.000760477,0.000677578,0.000774903,0.000860216
"94","ALDOA","ENSG00000149925","turquoise",0.014032207,0.015005955,0.014255197,0.015694337,0.013603301,0.012145999,0.011580996,0.016105935,0.015144591,0.01264738,0.013207469,0.014199623,0.018194137,0.014744591,0.010821086,0.006289001,0.006552209,0.005362999,0.005772755
"95","ALDOC","ENSG00000109107","turquoise",0.00441179,0.004169894,0.003612251,0.003407323,0.003294369,0.003358468,0.003129715,0.003888197,0.004202323,0.003813049,0.004039326,0.00391798,0.005702377,0.00375798,0.003716302,0.002304031,0.00284261,0.002465263,0.002435912
"96","ALPL","ENSG00000162551","turquoise",4.24e-05,0,7.88e-06,1.33e-05,0,2.37e-05,4.84e-05,1.37e-05,2.17e-05,2.13e-05,2.08e-05,0,2.84e-05,2.48e-05,6.41e-05,5.6e-05,6.58e-05,7.7e-05,3.29e-05
"97","AMPD2","ENSG00000116337","grey",0,0,1.97e-05,2.64e-05,1.9e-05,0,2.77e-05,2.98e-05,1.29e-05,1.43e-05,1.65e-05,0,9.31e-06,7.6e-06,1.63e-05,1.41e-05,2.39e-05,4.06e-05,1.54e-05
"98","AMPH","ENSG00000078053","black",0.000500763,0.000683885,0.000810442,0.000753855,0.000663536,0.000541967,0.000481033,0.000624822,0.000605469,0.000866352,0.000842168,0.000526893,0.00062938,0.000616511,0.000302767,0.00013045,0.000117596,0.000113996,0.000128705
"99","ANK2","ENSG00000145362","black",0.000147933,0.000224401,0.00019573,0.000229526,0.000133116,0.000107638,0.000153373,0.000134419,0.000131849,0.000193451,0.000167251,0.000128805,0.000135532,9.92e-05,9.61e-05,0.000147285,0.000120133,0.00013068,0.000110012
"100","ANK3","ENSG00000151150","black",4.02e-06,7.79e-06,6.46e-06,4.92e-06,4.02e-06,4.21e-06,3.57e-06,3.71e-06,4.04e-06,6.11e-06,5.95e-06,3.08e-06,2.05e-06,2.89e-06,0,0,0,0,1.25e-06
"101","ANKFY1","ENSG00000185722","turquoise",1.42e-05,1.03e-05,1.07e-05,1.53e-05,6.34e-06,0,1.28e-05,1.44e-05,1.4e-05,1.27e-05,9.12e-06,1.82e-05,6.79e-06,9.31e-06,1.17e-05,2.91e-05,2.22e-05,2.15e-05,3.37e-05
"102","ANO6","ENSG00000177119","turquoise",2.46e-05,1.64e-05,0,0,4.22e-05,3.32e-05,3.26e-05,4.09e-05,4.74e-05,3.5e-05,2.94e-05,3.47e-05,1.86e-05,1.26e-05,7.9e-05,0.000140246,0.000175371,9.94e-05,0.00010609
"103","ANP32A","ENSG00000140350","grey",0.000112567,0.000186047,0.000180559,0.000115886,0.000169802,0.000213412,0.000191566,0.000248247,0.000235869,0.000150121,0.000210049,0.00011314,0.000346268,0.000173315,0.000196669,0.000153522,0.000211498,0.000192416,0.000157495
"104","ANTXR1","ENSG00000169604","turquoise",1.38e-05,0,1.4e-05,0,1.69e-05,0,0,0,1.25e-05,1.35e-05,0,0,0,0,0,3.07e-05,3.66e-05,2.39e-05,3.5e-05
"105","ANXA1","ENSG00000135046","turquoise",0.000685649,0.000333157,0.000422003,0.000314437,0.001244672,0.001185362,0.000620518,0.000664965,0.001659385,0.001007221,0.000680796,0.000940778,0.001307833,0.000547533,0.003957392,0.005732306,0.009717094,0.01264352,0.007398426
